,Mock_A,Mock_B,Mock_C,Mock_D,Time12_A,Time12_B,Time12_C,Time12_D,Time24_A,Time24_B,Time24_C,Time24_D,Time72_A,Time72_B,Time72_C,Time72_D
Ca_00023.1|Ca_LG_1:324325-327826|plus|,286,331,221,258,878,1238,990,514,11604,4081,3152,5470,4,13,20,3
Ca_00024.1|Ca_LG_1:330552-335399|plus|,282,522,144,390,588,570,714,377,349,1658,712,229,1,0,2,0
Ca_00025.1|Ca_LG_1:338134-344369|plus|,5,14,12,5,11,4,4,20,24,13,8,1,18,32,24,3
Ca_00026.1|Ca_LG_1:423523-424512|minus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_00027.1|Ca_LG_1:445109-446230|minus|,0,0,0,0,7,10,9,9,5,6,2,5,0,0,0,0
Ca_00028.1|Ca_LG_1:452804-453130|plus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_00029.1|Ca_LG_1:507655-508971|minus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_00030.1|Ca_LG_1:539618-540121|plus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_00031.1|Ca_LG_1:573781-574745|minus|,7,18,2,2,122,62,52,114,36,36,31,53,52,67,82,5
Ca_00032.1|Ca_LG_1:587618-589086|plus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_00033.1|Ca_LG_1:595276-599750|plus|,75,113,48,83,178,76,118,89,86,223,131,56,0,1,0,0
Ca_00034.1|Ca_LG_1:608594-608848|plus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_00035.1|Ca_LG_1:622415-624535|plus|,920,523,823,1077,1373,907,1634,1902,1893,1948,871,712,474,893,583,68
Ca_00036.1|Ca_LG_1:632338-635839|minus|,0,0,0,1,4,0,0,2,0,1,1,0,1,3,0,0
Ca_00037.1|Ca_LG_1:642141-645815|plus|,83,73,75,69,56,48,80,34,84,204,81,44,6,4,17,0
Ca_00038.1|Ca_LG_1:648605-652161|plus|,506,641,293,471,511,403,553,382,561,1256,774,231,28,35,62,3
Ca_00039.1|Ca_LG_1:657727-662828|plus|,65,63,57,46,64,85,141,59,106,205,140,44,12,9,16,1
Ca_00040.1|Ca_LG_1:665180-670776|plus|,135,133,108,157,212,232,263,186,258,461,245,141,34,84,71,2
Ca_00041.1|Ca_LG_1:677783-688312|plus|,98,196,56,79,22,54,104,22,97,332,132,0,4,0,3,0
Ca_00042.1|Ca_LG_1:696830-697210|plus|,18,14,7,6,3,4,9,2,57,15,11,0,0,0,0,0
Ca_00043.1|Ca_LG_1:727565-728516|plus|,542,470,713,1074,665,282,820,725,2075,1779,723,299,277,164,183,14
Ca_00044.1|Ca_LG_1:736102-738134|plus|,34,27,14,51,3,3,1,2,1,4,13,1,0,0,1,0
Ca_00045.1|Ca_LG_1:739481-739660|plus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_00046.1|Ca_LG_1:748269-753358|plus|,378,364,279,381,365,364,551,407,560,929,545,299,60,65,97,3
Ca_00047.1|Ca_LG_1:754724-761251|plus|,800,1330,620,835,1450,1622,1776,1179,1383,3675,2038,898,144,199,189,9
Ca_00048.1|Ca_LG_1:762260-764771|minus|,69,106,70,91,125,126,154,70,130,354,169,62,15,21,25,1
Ca_00049.1|Ca_LG_1:766464-771190|minus|,248,252,227,274,1064,944,1430,848,1111,2012,1059,586,103,245,285,8
Ca_00050.1|Ca_LG_1:788232-790839|minus|,91,46,118,138,28,17,68,28,62,103,98,5,2,2,1,0
Ca_00051.1|Ca_LG_1:792510-795259|plus|,121,445,82,176,355,245,549,138,246,778,361,63,0,0,0,0
Ca_00052.1|Ca_LG_1:798620-802871|plus|,399,676,337,495,976,852,858,716,666,1695,794,362,110,161,149,10
Ca_00053.1|Ca_LG_1:804426-807744|plus|,518,941,423,508,547,618,806,330,566,1527,802,100,6,6,17,3
Ca_00054.1|Ca_LG_1:823789-824754|minus|,199,98,103,165,69,100,56,23,89,330,217,1,0,0,2,0
Ca_00055.1|Ca_LG_1:862360-865322|plus|,85,103,75,78,203,158,167,142,139,365,191,55,13,13,15,2
Ca_00056.1|Ca_LG_1:866311-869128|minus|,26,38,15,20,26,24,40,20,26,51,30,16,4,7,10,0
Ca_00057.1|Ca_LG_1:882330-889185|minus|,194,216,157,261,12,17,43,15,82,256,56,11,4,5,3,1
Ca_00058.1|Ca_LG_1:891049-899033|minus|,96,156,107,85,177,179,250,186,211,394,161,104,41,59,68,3
Ca_00059.1|Ca_LG_1:905683-906153|minus|,495,390,552,619,230,260,284,232,325,919,414,126,47,72,64,3
Ca_00060.1|Ca_LG_1:917998-925704|plus|,297,312,335,353,366,374,554,320,563,1420,599,191,41,50,41,3
Ca_00061.1|Ca_LG_1:940983-941942|minus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_00062.1|Ca_LG_1:949383-954153|plus|,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Ca_00063.1|Ca_LG_1:957953-958877|plus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_00064.1|Ca_LG_1:966575-968737|plus|,41,123,40,73,21,27,64,4,44,128,84,7,3,1,5,0
Ca_00065.1|Ca_LG_1:973282-976451|minus|,39,41,8,49,1,3,12,2,17,53,11,0,0,0,0,0
Ca_00066.1|Ca_LG_1:985256-986984|plus|,1767,4514,1263,1909,2632,3335,4845,1970,3332,8717,4595,495,44,38,61,12
Ca_00067.1|Ca_LG_1:989290-990760|plus|,95,340,69,87,823,1037,797,667,442,1076,728,222,18,33,50,12
Ca_00068.1|Ca_LG_1:992030-995909|minus|,23,45,36,43,21,30,35,26,27,77,35,19,0,6,5,0
Ca_00069.1|Ca_LG_1:1000053-1000952|plus|,654,391,724,632,119,122,122,57,681,627,227,161,34,22,38,0
Ca_00070.1|Ca_LG_1:1004246-1005488|plus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_00071.1|Ca_LG_1:1008440-1009303|minus|,1,0,1,5,0,3,1,5,1,2,3,2,0,0,4,0
Ca_00072.1|Ca_LG_1:1049439-1052154|minus|,14,14,18,16,6,8,13,13,18,48,12,3,9,2,5,0
Ca_00073.1|Ca_LG_1:1055532-1057531|plus|,0,11,0,0,8,0,7,10,0,4,0,0,0,5,10,0
Ca_00074.1|Ca_LG_1:1072660-1087403|minus|,112,112,107,183,11,19,12,10,15,55,15,1,0,0,0,0
Ca_00075.1|Ca_LG_1:1091115-1093677|plus|,169,220,127,223,93,194,167,131,132,399,180,54,10,10,21,5
Ca_00076.1|Ca_LG_1:1096356-1096685|minus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_00077.1|Ca_LG_1:1101442-1115648|plus|,126,206,103,102,169,132,220,115,138,316,218,174,3,21,19,0
Ca_00078.1|Ca_LG_1:1116891-1120250|minus|,56,58,34,41,16,22,39,3,63,105,53,6,0,0,0,0
Ca_00079.1|Ca_LG_1:1127539-1137683|plus|,521,728,469,634,1170,1076,1300,816,1322,2956,1566,710,51,51,113,5
Ca_00080.1|Ca_LG_1:1153182-1160571|minus|,23,17,19,17,8,36,33,29,16,73,34,10,5,10,7,0
Ca_00081.1|Ca_LG_1:1188894-1192384|plus|,2,2,2,0,15,10,1,17,19,37,13,14,0,0,1,0
Ca_00082.1|Ca_LG_1:1198943-1202769|plus|,49,49,51,46,33,54,66,18,43,198,59,19,0,3,0,0
Ca_00083.1|Ca_LG_1:1209380-1226767|minus|,216,289,203,208,167,212,299,189,309,904,419,139,43,108,73,13
Ca_00084.1|Ca_LG_1:1230366-1231282|minus|,76,110,56,89,48,73,81,58,68,262,129,41,2,0,9,0
Ca_00085.1|Ca_LG_1:1231494-1249862|plus|,145,112,126,221,3,18,22,10,24,73,26,1,3,0,0,0
Ca_00086.1|Ca_LG_1:1233255-1234530|minus|,0,2,4,0,1,1,4,0,1,5,2,0,0,0,0,0
Ca_00087.1|Ca_LG_1:1234696-1235001|minus|,2,12,9,5,29,15,17,15,25,46,42,13,1,0,1,1
Ca_00088.1|Ca_LG_1:1255492-1258698|minus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_00089.1|Ca_LG_1:1260001-1265722|plus|,283,342,230,337,280,363,378,212,292,831,361,138,28,73,44,5
Ca_00090.1|Ca_LG_1:1270064-1272626|plus|,144,192,159,237,101,152,156,135,117,401,176,52,11,14,22,3
Ca_00091.1|Ca_LG_1:1275305-1275634|minus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_00092.1|Ca_LG_1:1277309-1291600|plus|,0,7,0,0,0,0,0,0,0,0,56,0,0,0,0,0
Ca_00093.1|Ca_LG_1:1292730-1296133|minus|,61,48,38,56,16,23,54,8,49,121,55,2,0,0,0,0
Ca_00094.1|Ca_LG_1:1304391-1313256|plus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_00095.1|Ca_LG_1:1320872-1321360|plus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_00096.1|Ca_LG_1:1322322-1325720|minus|,205,879,57,304,1741,1254,961,1019,596,2402,1574,870,1,0,3,0
Ca_00097.1|Ca_LG_1:1327781-1334094|plus|,171,391,45,216,63,30,22,29,52,132,16,11,0,1,3,0
Ca_00098.1|Ca_LG_1:1345360-1350556|plus|,178,520,154,268,168,179,350,93,353,855,450,43,0,0,6,0
Ca_00099.1|Ca_LG_1:1351471-1353206|plus|,34,64,25,25,0,0,4,1,4,3,11,0,0,0,0,0
Ca_00100.1|Ca_LG_1:1354570-1357709|minus|,444,346,431,377,240,111,160,100,188,559,279,69,1,0,1,0
Ca_00101.1|Ca_LG_1:1364316-1367511|minus|,1511,553,1250,1339,63,26,56,16,129,299,141,16,0,3,4,1
Ca_00102.1|Ca_LG_1:1376451-1384688|plus|,90,120,73,111,78,85,99,61,114,261,124,39,3,7,9,1
Ca_00103.1|Ca_LG_1:1388232-1390556|minus|,153,113,101,143,21,19,74,33,65,154,54,14,3,6,16,0
Ca_00104.1|Ca_LG_1:1395992-1396920|minus|,3,6,3,4,7,6,6,3,5,19,4,1,0,0,1,0
Ca_00105.1|Ca_LG_1:1398477-1399211|minus|,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_00106.1|Ca_LG_1:1405477-1408816|minus|,117,125,107,151,36,46,74,27,90,190,95,35,3,4,21,0
Ca_00107.1|Ca_LG_1:1409748-1412279|plus|,101,108,107,199,34,51,46,23,78,181,104,6,3,4,5,0
Ca_00108.1|Ca_LG_1:1415527-1429870|plus|,473,329,432,407,61,44,62,20,198,248,126,5,0,5,25,0
Ca_00109.1|Ca_LG_1:1431010-1434514|plus|,215,489,154,233,320,343,484,233,386,924,473,130,28,25,55,3
Ca_00110.1|Ca_LG_1:1436248-1437978|plus|,84,80,35,160,4,0,2,0,0,5,0,0,0,0,0,0
Ca_00111.1|Ca_LG_1:1439833-1440906|minus|,13,39,23,8,461,465,563,354,441,878,376,80,0,0,0,0
Ca_00112.1|Ca_LG_1:1451567-1452913|plus|,2777,2554,3135,3998,5464,4968,7933,8087,8698,7453,3921,4189,5278,9975,7068,725
Ca_00113.1|Ca_LG_1:1464525-1469376|plus|,148,160,90,131,10,23,41,15,38,122,36,6,0,1,1,0
Ca_00114.1|Ca_LG_1:1472625-1476327|minus|,572,939,394,431,7524,6569,8117,4146,4691,17699,10122,4169,2,10,4,6
Ca_00115.1|Ca_LG_1:1482315-1484538|plus|,183,253,58,85,35,71,55,20,288,672,189,9,3,7,7,0
Ca_00116.1|Ca_LG_1:1485334-1485678|minus|,10,19,11,12,15,20,19,16,53,57,34,15,1,4,2,2
Ca_00117.1|Ca_LG_1:1489989-1493747|plus|,106,93,89,149,278,244,203,324,259,357,174,186,96,114,131,11
Ca_00118.1|Ca_LG_1:1496971-1497548|plus|,9,7,7,4,0,2,9,0,1,5,0,0,0,0,0,0
Ca_00119.1|Ca_LG_1:1501696-1509547|plus|,0,0,4,2,0,0,1,0,3,1,0,0,0,0,0,0
Ca_00120.1|Ca_LG_1:1509696-1510415|minus|,0,2,0,0,0,0,3,0,5,9,2,0,0,0,0,0
Ca_00121.1|Ca_LG_1:1511814-1514833|minus|,6,20,7,13,6,18,10,1,34,75,32,0,0,0,0,0
Ca_00122.1|Ca_LG_1:1523760-1527042|plus|,10,43,8,4,36,54,35,39,10,81,35,17,0,1,3,0
Ca_00123.1|Ca_LG_1:1528289-1529740|minus|,55,48,51,81,83,58,73,118,138,120,66,76,25,42,51,5
Ca_00124.1|Ca_LG_1:1541439-1544000|minus|,68,126,90,81,35,25,34,62,43,139,35,31,42,22,57,2
Ca_00125.1|Ca_LG_1:1556390-1560762|minus|,156,168,172,143,215,233,247,254,224,444,217,166,73,97,111,13
Ca_00126.1|Ca_LG_1:1562175-1565913|minus|,157,309,137,168,171,150,204,85,208,474,271,33,0,0,0,0
Ca_00127.1|Ca_LG_1:1570158-1572286|plus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_00128.1|Ca_LG_1:1576730-1578824|plus|,115,202,149,108,72,60,93,50,129,274,121,30,9,11,13,1
Ca_00129.1|Ca_LG_1:1579799-1583111|minus|,202,580,121,303,0,2,10,8,22,13,0,1,0,0,1,0
Ca_00130.1|Ca_LG_1:1591721-1592044|plus|,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Ca_00131.1|Ca_LG_1:1593262-1595686|minus|,82,74,84,104,72,52,93,48,92,185,64,41,5,5,10,1
Ca_00132.1|Ca_LG_1:1600456-1600779|minus|,0,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0
Ca_00133.1|Ca_LG_1:1608619-1609549|plus|,1,2,1,2,0,1,3,0,9,2,1,1,1,0,0,0
Ca_00134.1|Ca_LG_1:1611845-1617064|plus|,629,996,523,851,1291,1242,1536,1275,1459,2716,1324,670,363,393,678,40
Ca_00135.1|Ca_LG_1:1621367-1622935|plus|,16,17,4,22,2,11,5,0,2,36,8,0,0,1,0,0
Ca_00136.1|Ca_LG_1:1632057-1632878|plus|,150,237,153,240,13,77,112,29,86,236,101,28,9,9,10,0
Ca_00137.1|Ca_LG_1:1634797-1636429|minus|,123,45,79,109,255,206,259,158,206,616,269,102,14,5,20,2
Ca_00138.1|Ca_LG_1:1642878-1649592|minus|,330,561,293,366,721,846,851,704,650,1678,798,434,57,92,127,11
Ca_00139.1|Ca_LG_1:1652398-1656620|minus|,82,100,47,76,58,88,99,51,79,268,117,14,3,1,5,0
Ca_00140.1|Ca_LG_1:1657439-1661241|minus|,19,23,14,15,12,18,21,9,21,78,25,11,0,5,1,2
Ca_00141.1|Ca_LG_1:1663997-1667810|minus|,396,685,458,489,1900,1988,1846,1966,1913,2864,1570,1709,643,1272,860,117
Ca_00142.1|Ca_LG_1:1680730-1690133|plus|,515,578,578,547,1184,964,1609,1102,1568,1905,996,902,365,714,588,70
Ca_00143.1|Ca_LG_1:1704013-1706192|plus|,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_00144.1|Ca_LG_1:1709897-1711249|minus|,17,28,15,21,13,23,27,14,24,182,64,17,3,0,0,0
Ca_00145.1|Ca_LG_1:1717774-1719515|minus|,31,73,21,47,108,122,81,76,77,224,119,55,7,26,23,0
Ca_00146.1|Ca_LG_1:1726927-1734493|plus|,606,596,637,640,247,509,807,200,581,1581,812,122,46,55,106,12
Ca_00147.1|Ca_LG_1:1734851-1736842|minus|,93,98,79,146,169,139,165,153,138,254,133,78,20,19,47,1
Ca_00148.1|Ca_LG_1:1738955-1742148|minus|,1117,1649,810,1252,1243,1189,1336,738,1596,4213,2077,352,13,13,29,3
Ca_00149.1|Ca_LG_1:1742480-1747830|plus|,19,77,28,34,12,6,21,0,23,79,28,1,0,1,1,0
Ca_00150.1|Ca_LG_1:1750156-1753125|minus|,4,21,2,0,9,2,26,10,18,60,26,1,4,4,4,0
Ca_00151.1|Ca_LG_1:1757832-1761247|plus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Ca_00151.2|Ca_LG_1:1757832-1762072|plus|,173,130,161,137,68,79,109,57,128,232,125,41,12,12,16,0
Ca_00152.1|Ca_LG_1:1762611-1766100|minus|,228,405,222,261,454,458,520,408,524,1188,553,358,113,131,166,17
Ca_00153.1|Ca_LG_1:1766641-1767286|plus|,101,71,82,98,22,21,19,17,34,62,20,7,5,4,9,0
Ca_00154.1|Ca_LG_1:1767676-1774021|minus|,111,196,96,108,89,103,129,57,194,533,212,33,8,6,23,1
Ca_00155.1|Ca_LG_1:1775540-1777362|minus|,218,322,199,279,1626,1386,1200,1637,965,1469,786,1233,307,544,515,44
Ca_00156.1|Ca_LG_1:1780555-1792160|plus|,1212,2173,1302,1199,1191,1276,2277,874,1934,4784,2346,295,48,85,102,9
Ca_00157.1|Ca_LG_1:1793059-1800449|minus|,322,467,339,504,478,600,704,438,395,1199,556,279,38,32,42,1
Ca_00158.1|Ca_LG_1:1803487-1805136|plus|,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Ca_00159.1|Ca_LG_1:1809370-1809988|plus|,0,9,0,0,0,0,3,0,0,0,1,0,0,0,0,0
Ca_00160.1|Ca_LG_1:1814033-1815465|plus|,98,250,131,117,613,834,923,368,475,1889,1076,196,22,40,33,6
Ca_00161.1|Ca_LG_1:1820845-1823308|plus|,3,3,9,9,42,7,62,23,13,41,16,2,3,3,1,0
Ca_00162.1|Ca_LG_1:1824864-1826107|minus|,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
Ca_00163.1|Ca_LG_1:1857187-1862048|minus|,2575,3111,1913,2770,2785,2407,3384,2062,2948,5983,3335,959,57,73,130,12
Ca_00164.1|Ca_LG_1:1864971-1866068|plus|,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ca_00165.1|Ca_LG_1:1886461-1890285|plus|,2,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ca_00166.1|Ca_LG_1:1891189-1892869|minus|,367,239,201,367,115,108,129,117,94,202,79,37,12,34,60,1
Ca_00167.1|Ca_LG_1:1894664-1897820|plus|,438,568,357,481,475,428,669,339,573,1445,643,130,12,11,24,2
Ca_00168.1|Ca_LG_1:1899623-1902647|plus|,6,37,15,19,19,32,45,22,29,106,46,15,1,1,4,2
Ca_00169.1|Ca_LG_1:1904690-1907118|plus|,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0
Ca_00170.1|Ca_LG_1:1908258-1910012|minus|,84,267,72,92,218,223,280,128,205,512,267,57,19,50,37,5
Ca_00171.1|Ca_LG_1:1917022-1918974|minus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_00172.1|Ca_LG_1:1954485-1959811|plus|,1,2,0,0,3,0,0,0,1,1,4,0,0,0,0,0
Ca_00173.1|Ca_LG_1:1973933-1977842|plus|,1,7,2,10,4,3,2,0,6,9,2,0,0,1,0,0
Ca_00174.1|Ca_LG_1:2043233-2049975|plus|,3,19,1,6,1,0,2,0,1,0,0,0,0,0,0,0
Ca_00175.1|Ca_LG_1:2063421-2066122|minus|,62,60,41,48,3,4,13,1,18,39,23,1,0,0,0,0
Ca_00176.1|Ca_LG_1:2079461-2082252|minus|,4,3,4,3,3,0,8,4,2,2,3,1,0,2,2,0
Ca_00177.1|Ca_LG_1:2083235-2094592|plus|,27,70,19,24,3,20,36,7,36,132,74,3,1,2,1,0
Ca_00178.1|Ca_LG_1:2096458-2097447|minus|,67,50,64,83,269,242,120,221,137,705,178,18,5,4,8,0
Ca_00179.1|Ca_LG_1:2110560-2113848|minus|,1,6,0,4,21,4,1,9,3,8,2,0,0,0,0,0
Ca_00180.1|Ca_LG_1:2115565-2117314|plus|,1,3,0,12,1,0,0,0,0,1,0,0,0,0,0,0
Ca_00181.1|Ca_LG_1:2118600-2119409|minus|,150,135,118,156,163,163,332,127,258,503,262,91,23,30,75,4
Ca_00182.1|Ca_LG_1:2119713-2121952|minus|,125,111,106,108,115,104,290,69,240,494,230,48,5,16,11,1
Ca_00183.1|Ca_LG_1:2123326-2130565|minus|,58,104,27,69,35,42,63,29,62,120,93,14,5,4,15,0
Ca_00184.1|Ca_LG_1:2140389-2145421|plus|,296,507,197,261,145,150,205,99,175,467,324,25,4,6,7,0
Ca_00185.1|Ca_LG_1:2147464-2148033|minus|,1,2,0,5,7,1,2,1,0,2,1,0,0,0,0,0
Ca_00186.1|Ca_LG_1:2152354-2153286|plus|,641,2111,460,712,1421,1569,2601,1022,1559,4789,2108,265,57,37,53,3
Ca_00187.1|Ca_LG_1:2156549-2158944|plus|,180,286,150,225,138,91,153,82,140,324,159,31,14,18,21,0
Ca_00188.1|Ca_LG_1:2159875-2164449|minus|,317,536,260,243,444,343,481,288,505,1319,726,122,14,32,38,3
Ca_00189.1|Ca_LG_1:2165307-2167944|minus|,799,666,372,750,130,96,110,78,61,200,57,15,0,0,0,0
Ca_00190.1|Ca_LG_1:2170700-2171657|plus|,151,100,95,166,1,1,0,1,0,4,0,0,0,0,0,0
Ca_00191.1|Ca_LG_1:2172585-2173617|minus|,2,4,2,1,1,6,8,4,6,6,8,2,0,0,2,0
Ca_00192.1|Ca_LG_1:2180160-2182808|plus|,3,84,1,1,0,0,0,0,35,9,0,11,0,0,0,0
Ca_00193.1|Ca_LG_1:2183507-2184859|minus|,425,375,230,457,14,6,11,17,26,26,5,1,3,1,3,0
Ca_00194.1|Ca_LG_1:2186921-2187832|minus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_00195.1|Ca_LG_1:2192782-2193385|plus|,653,695,396,907,264,210,378,199,253,551,280,71,25,45,43,5
Ca_00196.1|Ca_LG_1:2193669-2194804|plus|,15,12,11,6,16,18,22,31,29,34,14,13,13,15,16,0
Ca_00197.1|Ca_LG_1:2198950-2206690|minus|,29,49,26,65,2,5,2,4,0,12,2,1,0,0,0,0
Ca_00198.1|Ca_LG_1:2211098-2224840|plus|,457,775,435,477,689,722,938,533,800,1979,946,394,98,190,208,17
Ca_00199.1|Ca_LG_1:2226419-2227830|plus|,532,654,477,694,4423,2951,5386,3546,2767,5608,2488,1468,189,544,732,39
Ca_00200.1|Ca_LG_1:2228292-2231548|minus|,727,666,474,818,14,11,26,19,16,22,9,3,2,19,7,0
Ca_00201.1|Ca_LG_1:2237956-2241416|minus|,93,112,78,86,111,151,169,62,131,281,174,68,3,0,14,1
Ca_00202.1|Ca_LG_1:2249906-2250349|plus|,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Ca_00203.1|Ca_LG_1:2266055-2271872|minus|,134,194,103,146,146,162,212,170,271,441,205,100,34,41,39,1
Ca_00204.1|Ca_LG_1:2273343-2276099|minus|,0,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Ca_00205.1|Ca_LG_1:2277646-2278986|minus|,16,21,19,37,26,21,28,27,16,63,41,4,4,2,11,0
Ca_00206.1|Ca_LG_1:2283672-2284429|plus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_00207.1|Ca_LG_1:2285650-2290711|minus|,56,178,49,70,35,57,121,35,100,337,119,6,0,1,4,1
Ca_00208.1|Ca_LG_1:2291795-2292897|plus|,66,99,24,90,1,0,0,0,0,0,0,0,0,0,0,0
Ca_00209.1|Ca_LG_1:2298047-2299360|minus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_00210.1|Ca_LG_1:2313995-2317966|minus|,127,156,82,121,14,17,26,7,33,91,40,3,0,0,2,0
Ca_00211.1|Ca_LG_1:2319752-2325181|minus|,216,177,207,223,66,104,101,93,109,292,166,5,0,0,6,0
Ca_00211.2|Ca_LG_1:2319752-2325127|minus|,0,52,0,0,27,7,0,0,0,44,0,22,2,7,0,4
Ca_00212.1|Ca_LG_1:2325936-2327910|plus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_00212.2|Ca_LG_1:2325911-2327911|plus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_00213.1|Ca_LG_1:2328341-2329050|minus|,0,2,1,1,5,3,1,2,6,7,4,0,0,0,2,0
Ca_00214.1|Ca_LG_1:2329876-2335076|minus|,305,490,188,414,56,117,117,50,162,426,163,21,2,6,6,2
Ca_00215.1|Ca_LG_1:2336842-2339913|minus|,107,196,66,91,184,187,189,127,225,441,245,95,7,20,26,2
Ca_00216.1|Ca_LG_1:2349967-2358096|plus|,119,182,125,122,93,173,188,54,165,683,227,104,3,5,5,0
Ca_00217.1|Ca_LG_1:2361308-2361895|plus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_00218.1|Ca_LG_1:2364904-2365530|plus|,25,48,42,51,409,364,181,148,97,799,286,93,0,0,0,0
